Storage,MCP,Rep.,DAT,WL,Fir,TSS,Sug,TA,ViC,PhC,Fla,L,a,b
DST,0.5,1,0,0,29.01,8.6,6.26,0.68,35.35,2.88,1.32,0,0,0
DST,0.5,2,0,0,29.46,9.34,6.34,0.7,34.06,3.14,1.88,0,0,0
DST,0.5,3,0,0,28.28,8.11,5.86,0.78,34.55,2.59,2.17,0,0,0
DST,1,1,0,0,35.8,5.92,5.22,0.63,33.68,2.19,2.11,0,0,0
DST,1,2,0,0,36.27,5.39,5.42,0.61,32.99,2.23,2.28,0,0,0
DST,1,3,0,0,34.89,4.92,5.01,0.58,33.24,1.84,1.16,0,0,0
DST,1.5,1,0,0,36.2,7.3,7.38,0.55,36.31,2.2,1.62,0,0,0
DST,1.5,2,0,0,36.69,7.6,8.04,0.67,35.59,2.39,1.91,0,0,0
DST,1.5,3,0,0,35.31,6.62,7.3,0.51,35.5,2.19,1.47,0,0,0
DST,2,1,0,0,31.68,8.1,6.37,0.6,39.33,3.1,1.86,0,0,0
DST,2,2,0,0,32.03,8.39,6.88,0.72,38.69,3.23,2.11,0,0,0
DST,2,3,0,0,31.14,7.67,5.72,0.63,38.43,2.39,2.2,0,0,0
DST,0,1,0,0,30.2,7.78,6.99,0.71,39.27,2.33,2.27,0,0,0
DST,0,2,0,0,30.86,8.26,7.06,0.78,38.11,3.21,2.28,0,0,0
DST,0,3,0,0,29.39,7.43,6.92,0.72,38.99,1.39,2.11,0,0,0
CST,0.5,1,0,0,26.59,5.2,5.38,0.79,37.2,2.79,1.69,0,0,0
CST,0.5,2,0,0,27.48,5.47,6.37,0.53,36.43,3.48,1.52,0,0,0
CST,0.5,3,0,0,26.29,4.84,4.53,0.68,36.88,2.1,1.92,0,0,0
CST,1,1,0,0,28.5,5.9,8.25,0.71,29.8,2.25,1.75,0,0,0
CST,1,2,0,0,29.22,6.27,8.61,0.65,29.42,3.16,1.52,0,0,0
CST,1,3,0,0,27.54,5.73,7.66,0.72,28.81,1.54,1.22,0,0,0
CST,1.5,1,0,0,33.05,5.9,7.98,0.58,32.27,2.01,1.19,0,0,0
CST,1.5,2,0,0,33.6,6.8,8.18,0.77,33.81,2.71,1.62,0,0,0
CST,1.5,3,0,0,32.25,5.38,7.4,0.58,34.55,1.21,1.5,0,0,0
CST,2,1,0,0,26.83,6.8,9.77,0.64,32.62,3.09,1.35,0,0,0
CST,2,2,0,0,27.48,7.6,10.33,0.72,34.87,3.44,1.48,0,0,0
CST,2,3,0,0,26.26,5.91,9.22,0.59,33.39,3.05,1.21,0,0,0
CST,0,1,0,0,30.72,8.2,6.92,0.79,32.82,2.18,1.82,0,0,0
CST,0,2,0,0,31.35,8.71,7.34,0.88,34.22,2.26,1.22,0,0,0
CST,0,3,0,0,30.71,7.29,6.05,0.62,33.61,1.46,1.56,0,0,0
AST,0.5,1,0,0,33.29,5.81,6.28,0.47,35.12,2.45,1.61,0,0,0
AST,0.5,2,0,0,33.79,6.19,6.89,0.84,35.63,2.76,1.52,0,0,0
AST,0.5,3,0,0,32.77,5.51,5.69,0.73,34.88,2.36,1.74,0,0,0
AST,1,1,0,0,30.13,5.7,9.22,0.72,33.22,1.88,1,0,0,0
AST,1,2,0,0,31,6.7,9.58,0.85,32.82,2.15,1.27,0,0,0
AST,1,3,0,0,29.71,5.27,8.69,0.62,33.91,1.48,1.52,0,0,0
AST,1.5,1,0,0,28.8,6.7,8.37,0.58,32.37,1.73,1.45,0,0,0
AST,1.5,2,0,0,29.57,7.41,9.22,0.71,33.14,2.51,1.28,0,0,0
AST,1.5,3,0,0,28.77,6.67,8.06,0.55,33.74,1.52,1.33,0,0,0
AST,2,1,0,0,32.6,17.42,8.22,0.84,35.71,1.33,1.82,0,0,0
AST,2,2,0,0,33.49,18.21,8.25,0.8,36.21,2.12,1.69,0,0,0
AST,2,3,0,0,32.11,17.26,7.82,0.68,35.02,0.58,1.21,0,0,0
AST,0,1,0,0,30.7,6.66,7.61,0.88,31.2,1.52,2.1,0,0,0
AST,0,2,0,0,31.19,7.42,8.05,0.82,32.24,2.07,1.7,0,0,0
AST,0,3,0,0,29.8,6.09,7.47,0.86,32.68,1.31,1.82,0,0,0
DST,0.5,1,10,2.95,18.72,12.53,8.98,0.59,29.62,9.35,1.92,15.26,0.08,1.92
DST,0.5,2,10,3.15,19.71,13.18,9.38,0.63,28.74,8.98,2.18,16.06,1.03,2.38
DST,0.5,3,10,2.55,18.46,12.32,8.56,0.73,28.91,8.6,2.44,14.54,-0.13,1.65
DST,1,1,10,1.96,26.89,10.37,8.92,0.43,30.02,9.78,2.41,15.98,-1.66,1.68
DST,1,2,10,2.53,27.39,10.81,9.5,0.32,28.16,8.22,2.64,16.25,-1.11,2.54
DST,1,3,10,1.68,26.51,10.21,7.98,0.39,27.01,8.93,1.53,15.17,-2.11,2.11
DST,1.5,1,10,2.05,26.52,11.53,10.21,0.49,30.58,10.34,2.31,16.32,3.41,5.11
DST,1.5,2,10,2.64,26.98,12.19,10.76,0.63,28.5,11.18,2.83,17.06,4.14,5.98
DST,1.5,3,10,1.81,25.96,10.93,10.04,0.35,28.42,9.47,1.79,15.92,2.97,4.62
DST,2,1,10,3.82,24.28,13.82,9.27,0.49,27.72,10.03,2.53,19.41,2.1,4.84
DST,2,2,10,3.44,25.11,14.06,10.17,0.64,29.69,8.97,3.02,19.72,2.73,4.27
DST,2,3,10,3.16,23.44,12.99,8.71,0.55,28.94,9.14,2.5,19.4,1.59,2.52
DST,0,1,10,7.64,14.1,16.8,10.2,0.66,29.61,9.42,2.63,26.46,1.37,14.96
DST,0,2,10,8.31,15.07,17.46,10.89,0.73,28.87,8.34,3.11,26.59,2.23,15.48
DST,0,3,10,6.93,13.61,16.15,9.79,0.68,30.62,10.21,2.85,26.18,0.87,14.55
CST,0.5,1,10,3.11,15.7,10.63,8.34,0.65,28.3,8.35,2.12,23.01,1.65,4.62
CST,0.5,2,10,3.23,16.6,11.22,8.6,0.48,28,9.03,1.91,23.22,1.68,4.74
CST,0.5,3,10,2.61,15.15,10.32,7.86,0.59,27.38,7.41,2.33,22.29,0.69,3.83
CST,1,1,10,2.35,22.1,10.28,11.84,0.53,25.6,9.7,2.09,15.98,0.05,11.58
CST,1,2,10,2.72,23.05,10.69,12.17,0.48,25.04,8.19,1.85,16.12,0.86,12
CST,1,3,10,2.03,21.91,10.1,11.08,0.63,24.93,7.04,1.51,15.48,-0.55,10.65
CST,1.5,1,10,2.21,19.7,11.32,8.46,0.48,28.3,11.34,1.46,23.01,2.51,14.09
CST,1.5,2,10,2.43,20.26,11.81,8.81,0.64,27.37,10.98,1.98,23.53,2.72,14.63
CST,1.5,3,10,2.82,19.31,10.65,7.68,0.3,28.23,12.76,1.79,22.43,1.56,13.35
CST,2,1,10,2.98,18.1,10.38,13.8,0.59,27,14,1.71,35.95,1.92,18.32
CST,2,2,10,2.85,18.54,11.34,14.71,0.64,29.11,15.01,2.08,36.46,2.3,18.62
CST,2,3,10,3.11,17.77,9.77,13.5,0.44,28.06,13.04,1.52,35.16,1.72,17.83
CST,0,1,10,5.88,16.9,12.42,10.2,0.75,32.82,11.04,2.69,28.67,3.36,39.55
CST,0,2,10,5.91,17.77,13.25,11.16,0.85,29.78,10.15,2.43,29.42,4.16,40.31
CST,0,3,10,5.39,16.35,12.19,10.09,0.58,30.96,10.25,2.98,28.24,2.44,39.47
AST,0.5,1,10,19.61,1.65,19.82,21.26,0.36,8.02,18.68,1.9,59.25,4.39,13.56
AST,0.5,2,10,19.22,1.93,19.96,21.28,0.45,7.75,19.97,1.44,59.61,5.09,13.87
AST,0.5,3,10,18.95,0.79,19.16,20.49,0.52,7.18,17.74,2.08,58.71,4.02,13.08
AST,1,1,10,9.03,1.4,15.1,17.36,0.51,5.35,17.78,1.07,54.28,2.94,33.82
AST,1,2,10,10.03,1.53,15.18,17.85,0.83,5.11,17.92,2.11,54.55,3.34,33.19
AST,1,3,10,8.77,0.69,14.22,17.09,0.44,4.84,16.6,1.71,53.29,2.36,33.53
AST,1.5,1,10,10.98,3.75,18,18.6,0.48,7.3,20.04,1.88,61.11,3.18,34.95
AST,1.5,2,10,11.44,4.58,18.41,19.57,0.57,6.64,17,2.27,61.53,3.74,34.71
AST,1.5,3,10,10.58,3.19,17.19,18.22,0.33,7.03,18.01,1.58,60.98,2.8,34.22
AST,2,1,10,16.83,1.94,17.42,18.43,0.49,7.39,20.81,2.59,44.14,3.28,34.16
AST,2,2,10,17.43,2.3,18.21,18.56,0.61,8.22,23.02,2.42,44.84,3.49,34.03
AST,2,3,10,16.08,1.13,17.26,18.02,0.57,7.14,19.22,1.4,43.44,2.66,33.36
AST,0,1,10,20.21,0.2,21.5,23.54,0.84,9.68,22.82,3.41,52.46,3.92,32.48
AST,0,2,10,20.63,0.58,21.68,23.86,0.79,8.73,24.36,2.69,53.26,4.83,32.83
AST,0,3,10,19.57,0.11,21.11,23.02,0.82,8.94,23.23,3.04,52.29,3.35,32.22
DST,0.5,1,20,8.52,9.82,10.5,10.2,0.52,23.4,9.87,2.87,26.46,2.1,15.5
DST,0.5,2,20,8.9,10.3,10.99,11.14,0.37,22.61,11.1,3.11,26.74,2.85,15.89
DST,0.5,3,20,8.24,8.97,10.11,10.16,0.4,23.75,10.55,2.63,25.98,1.53,15.09
DST,1,1,20,4.73,16.51,11.75,9.26,0.42,22.97,10.7,2.66,36.29,1.37,11.53
DST,1,2,20,4.57,17.26,11.93,9.84,0.53,24.92,10.28,3.41,36.9,1.44,12.46
DST,1,3,20,4.54,15.98,11.12,8.87,0.32,22.39,11.12,1.82,36.21,1.14,11.91
DST,1.5,1,20,5.44,19.7,14.26,10.72,0.52,24.3,14.3,2.63,29.62,4.14,13.25
DST,1.5,2,20,5.12,19.98,14.75,11.64,0.59,23.85,14.69,3.24,30.26,5.04,13.55
DST,1.5,3,20,4.95,18.78,14.24,9.75,0.35,23.25,15.19,1.85,29.03,3.23,12.83
DST,2,1,20,6.39,15.8,10.38,12.69,0.47,21.32,11.2,3.24,26.21,2.88,13.94
DST,2,2,20,6.84,16.28,10.58,12.8,0.53,23.26,12.83,2.95,27.12,3.16,12.85
DST,2,3,20,5.78,15.21,10.19,12.46,0.44,22.01,13.92,2.57,25.86,2.74,13.25
DST,0,1,20,13.85,7.22,14.37,14.51,0.49,21.4,10.21,3.05,28.84,4.16,14.62
DST,0,2,20,14.48,7.5,15.25,15.35,0.57,20.8,9.65,3.95,29.51,5.09,15.56
DST,0,3,20,13.15,6.66,13.88,14.32,0.59,21,11.01,2.68,28.81,4.14,14.52
CST,0.5,1,20,7.39,7.31,15.2,16.48,0.51,11.46,16.35,2.21,39.55,3.36,35.49
CST,0.5,2,20,7.23,8.07,15.66,17.12,0.55,10.66,15.85,2.45,39.71,3.57,36.03
CST,0.5,3,20,6.43,6.66,14.91,15.72,0.52,11.24,17.12,1.77,39.26,2.77,35.18
CST,1,1,20,5.22,6.28,12.63,12.46,0.49,12.46,13.96,2.35,31.81,1.65,31.28
CST,1,2,20,5.66,6.91,13.12,12.53,0.63,12.03,14.63,2.57,32.06,2.34,32.05
CST,1,3,20,4.76,5.54,12.04,12.34,0.55,11.77,12.61,1.95,31.23,1.47,31.15
CST,1.5,1,20,6.29,7.75,13.11,13.87,0.48,13.42,12.38,2.82,35.14,2.51,32.64
CST,1.5,2,20,6.48,8.35,13.41,14.45,0.57,13.19,11.29,3.41,34.88,3.25,32.15
CST,1.5,3,20,6.89,6.98,12.55,12.89,0.42,12.54,13.67,2.17,34.41,2.29,31.72
CST,2,1,20,6.45,8.42,13.26,15.2,0.51,10.57,16.6,2.07,35.97,4.09,35.49
CST,2,2,20,7.22,8.58,13.39,15.59,0.37,10.09,17.31,2.36,36.42,3.26,35.68
CST,2,3,20,6.04,7.63,13.1,15.12,0.72,11.21,16.07,1.19,35.4,3.48,35.46
CST,0,1,20,8.29,2.8,17.84,16.8,0.56,9.68,14.4,2.77,44.95,1.65,32.2
CST,0,2,20,8.07,3.22,19.38,17.04,0.48,9.24,16.06,3.36,44.98,1.96,32.79
CST,0,3,20,7.76,2.19,18.82,16.11,0.54,9.16,15.43,2.37,44.17,1.42,32.14
AST,0.5,1,20,,,,,,,,,,,
AST,0.5,2,20,,,,,,,,,,,
AST,0.5,3,20,,,,,,,,,,,
AST,1,1,20,,,,,,,,,,,
AST,1,2,20,,,,,,,,,,,
AST,1,3,20,,,,,,,,,,,
AST,1.5,1,20,,,,,,,,,,,
AST,1.5,2,20,,,,,,,,,,,
AST,1.5,3,20,,,,,,,,,,,
AST,2,1,20,,,,,,,,,,,
AST,2,2,20,,,,,,,,,,,
AST,2,3,20,,,,,,,,,,,
AST,0,1,20,,,,,,,,,,,
AST,0,2,20,,,,,,,,,,,
AST,0,3,20,,,,,,,,,,,
DST,0.5,1,30,15.72,4.97,14.3,14.2,0.42,23.4,14.28,3.07,48.28,4.86,35.49
DST,0.5,2,30,16.43,5.44,14.77,14.89,0.49,22.86,13.61,3.53,48.94,4.1,35.96
DST,0.5,3,30,16.1,4.74,13.73,13.93,0.5,22.58,15.15,2.88,47.62,4.72,34.86
DST,1,1,30,9.22,5.71,13.52,11.72,0.37,22.98,11.9,2.98,35.95,2.1,31.29
DST,1,2,30,10.05,6.1,13.74,12.53,0.36,21.84,10.94,3.38,36.29,1.62,31.91
DST,1,3,30,8.9,4.74,12.72,10.94,0.41,23.48,12.35,2.06,35.08,1.79,30.78
DST,1.5,1,30,10.72,8.92,14.28,12.83,0.52,24.3,13.82,2.85,39.55,2.34,32.48
DST,1.5,2,30,11.31,9.57,14.86,12.97,0.45,24.85,12.57,3.62,39.58,2.11,32.57
DST,1.5,3,30,10.2,8.15,14.01,12.45,0.38,23.65,11.87,1.92,38.86,1.85,31.87
DST,2,1,30,11.8,7.05,15.25,13.38,0.39,23.4,16.66,3.07,35.61,2.94,32.64
DST,2,2,30,12.57,7.79,15.56,13.5,0.44,22.19,17.84,3.26,36.29,1.96,33.51
DST,2,3,30,11.12,6.26,14.57,13.2,0.41,21.47,18.25,2.68,35.36,2.06,33.03
DST,0,1,30,18.92,2.1,16.81,17.4,0.41,21.4,12.91,3.28,48.16,2.63,32.65
DST,0,2,30,19.05,3.07,17.33,18.39,0.56,21.11,13.88,3.44,48.34,2.22,32.66
